10:51:42:251, Customer 0 is done eating.
10:51:42:314, Door added customer.
10:51:42:372, Customer 1 is done eating.
10:51:42:436, Door added customer.
10:51:42:487, Customer 2 is done eating.
10:51:42:558, Door added customer.
10:51:42:668, Customer 3 is done eating.
10:51:42:680, Door added customer.
10:51:42:762, Customer 4 is done eating.
10:51:42:802, Door added customer.
10:51:42:897, Customer 5 is done eating.
10:51:42:924, Door added customer.
10:51:43:21, Customer 6 is done eating.
10:53:51:23, Door added customer.
10:53:51:30, Waitress fetched customer 0
10:53:51:161, Customer 0 is ordering sushi.
10:53:51:217, Waitress fetched customer 1
10:53:51:217, Door added customer.
10:53:51:283, Customer 1 is ordering sushi.
10:53:51:344, Door added customer.
10:53:51:344, Waitress fetched customer 2
10:53:51:408, Customer 2 is ordering sushi.
10:53:51:467, Waitress fetched customer 3
10:53:51:470, Door added customer.
10:53:51:534, Customer 3 is ordering sushi.
10:53:51:603, Waitress fetched customer 4
10:53:51:603, Door added customer.
10:53:51:667, Customer 4 is ordering sushi.
10:53:51:734, Door added customer.
10:53:51:734, Waitress fetched customer 5
10:53:51:798, Customer 5 is ordering sushi.
10:53:51:858, Door added customer.
10:53:51:859, Waitress fetched customer 6
10:53:51:926, Customer 6 is ordering sushi.
10:53:51:982, Door added customer.
10:53:52:105, Door added customer.
10:53:52:229, Door added customer.
10:53:52:350, Door added customer.
10:53:52:474, Door added customer.
10:53:52:599, Door added customer.
10:53:52:722, Door added customer.
10:53:52:845, Door added customer.
10:53:52:970, Door added customer.
10:53:53:94, Door added customer.
10:53:53:216, Door added customer.
10:53:53:340, Door added customer.
10:53:53:464, Door added customer.
10:53:53:589, Door added customer.
10:53:53:667, Customer 0 is done eating.
10:53:53:711, Door added customer.
10:53:53:793, Customer 1 is done eating.
10:53:53:835, Door added customer.
10:53:53:926, Customer 2 is done eating.
10:53:53:957, Door added customer.
10:53:54:39, Customer 3 is done eating.
10:53:54:81, Door added customer.
10:53:54:170, Customer 4 is done eating.
10:53:54:207, Door added customer.
10:53:54:301, Customer 5 is done eating.
10:53:54:332, Door added customer.
10:53:54:430, Customer 6 is done eating.
11:00:46:153, Waitress fetched customer 0
11:00:46:109, Door added customer.
11:00:46:241, Thread-6: Customer 0 is ordering sushi.
11:00:46:297, Door added customer.
11:00:46:298, Waitress fetched customer 1
11:00:46:380, Thread-4: Customer 1 is ordering sushi.
11:00:46:430, Waitress fetched customer 2
11:00:46:434, Door added customer.
11:00:46:497, Thread-0: Customer 2 is ordering sushi.
11:00:46:561, Waitress fetched customer 3
11:00:46:563, Door added customer.
11:00:46:630, Thread-3: Customer 3 is ordering sushi.
11:00:46:691, Waitress fetched customer 4
11:00:46:695, Door added customer.
11:00:46:764, Thread-2: Customer 4 is ordering sushi.
11:00:46:824, Waitress fetched customer 5
11:00:46:824, Door added customer.
11:00:46:894, Thread-1: Customer 5 is ordering sushi.
11:00:46:954, Door added customer.
11:00:46:954, Waitress fetched customer 6
11:00:47:17, Thread-5: Customer 6 is ordering sushi.
11:00:47:77, Door added customer.
11:00:47:201, Door added customer.
11:00:47:323, Door added customer.
11:00:47:446, Door added customer.
11:00:47:570, Door added customer.
11:00:47:694, Door added customer.
11:00:47:818, Door added customer.
11:00:47:944, Door added customer.
11:00:48:69, Door added customer.
11:00:48:193, Door added customer.
11:00:48:317, Door added customer.
11:00:48:441, Door added customer.
11:00:48:565, Door added customer.
11:00:48:690, Door added customer.
11:00:48:751, Thread-6: Customer 0 is now eating.
11:00:48:812, Door added customer.
11:00:48:884, Thread-4: Customer 1 is now eating.
11:00:48:936, Door added customer.
11:00:49:03, Thread-0: Customer 2 is now eating.
11:00:49:59, Door added customer.
11:00:49:136, Thread-3: Customer 3 is now eating.
11:00:49:182, Door added customer.
11:00:49:271, Thread-2: Customer 4 is now eating.
11:00:49:304, Door added customer.
11:00:49:398, Thread-1: Customer 5 is now eating.
11:00:49:429, Door added customer.
11:00:49:521, Thread-5: Customer 6 is now eating.
11:08:43:06, Waitress fetched customer 0
11:08:42:986, Door added customer.
11:08:43:107, Thread-6: Customer 0 is ordering sushi.
11:08:43:166, Waitress fetched customer 1
11:08:43:167, Door added customer.
11:08:43:233, Thread-3: Customer 1 is ordering sushi.
11:08:43:295, Waitress fetched customer 2
11:08:43:299, Door added customer.
11:08:43:361, Thread-0: Customer 2 is ordering sushi.
11:08:43:423, Door added customer.
11:08:43:423, Waitress fetched customer 3
11:08:43:489, Thread-2: Customer 3 is ordering sushi.
11:08:43:549, Waitress fetched customer 4
11:08:43:549, Door added customer.
11:08:43:613, Thread-1: Customer 4 is ordering sushi.
11:08:43:673, Waitress fetched customer 5
11:08:43:673, Door added customer.
11:08:43:737, Thread-5: Customer 5 is ordering sushi.
11:08:43:797, Waitress fetched customer 6
11:08:43:797, Door added customer.
11:08:43:862, Thread-4: Customer 6 is ordering sushi.
11:08:43:921, Door added customer.
11:08:44:43, Door added customer.
11:08:44:167, Door added customer.
11:08:44:289, Door added customer.
